individual	species	general site	locality	collection method	permit	collection date	dissection date	days elapsed before dissection	RNA extraction date	days elapsed before RNA extraction	GPS N	GPS W
088C	Scaptomya cyrtandrae	Stainback Highway	Army road west	on Cyrtandra platyphylla	DOFAW I1012; NARS special use; Hawai'i island forest reserve access permit	5/29/2017	6/3/2017	5	3/21/2018	291	N19° 33.615' 	W155° 15.010'
088A	Scaptomya cyrtandrae	Stainback Highway	Army road west	on Cyrtandra platyphylla	DOFAW I1012; NARS special use; Hawai'i island forest reserve access permit	5/29/2017	6/3/2017	5	3/21/2018	291	N19° 33.615' 	W155° 15.010'
088B	Scaptomya cyrtandrae	Stainback Highway	Army road west	on Cyrtandra platyphylla	DOFAW I1012; NARS special use; Hawai'i island forest reserve access permit	5/29/2017	6/3/2017	5	3/21/2018	291	N19° 33.615' 	W155° 15.010'
025A	Drosophila picticornis	Koke'e State Park	Awa'awapuhi trail	baits	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/14/2017	4/27/2017	13	3/24/2018	331	N22° 08.481'	W159° 38.926'
16.2-1	Drosophila cf dives	Hawai'i Volcanoes National Park	Bird park	baits	DOFAW I1012; HAVO-2017-SCI-0017	5/10/2016	5/26/2016	16	11/15/2016	173	N19° 26.3512' 	W155° 18.2225'
16.1-1	Drosophila cf dives	Hawai'i Volcanoes National Park	Bird park	baits	DOFAW I1012; HAVO-2017-SCI-0017	5/10/2016	5/20/2016	10	11/15/2016	179	N19° 26.3512' 	W155° 18.2225'
18.0-3	Drosophila mimica	Hawai'i Volcanoes National Park	Bird park	sweeping Sapindus saponaria leaves	DOFAW I1012; HAVO-2017-SCI-0017	5/10/2016	5/20/2016	10	11/15/2016	179	N19° 26.3512' 	W155° 18.2225'
040B	Drosophila mimica	Hawai'i Volcanoes National Park	Bird park	sweeping Sapindus saponaria leaves	DOFAW I1012; HAVO-2017-SCI-0017	4/17/2017	4/22/2017	5	2/11/2018	295	N19° 26.3512' 	W155° 18.2225'
040D	Drosophila mimica	Hawai'i Volcanoes National Park	Bird park	sweeping Sapindus saponaria leaves	DOFAW I1012; HAVO-2017-SCI-0017	4/17/2017	4/22/2017	5	2/11/2018	295	N19° 26.3512' 	W155° 18.2225'
040C	Drosophila mimica	Hawai'i Volcanoes National Park	Bird park	sweeping Sapindus saponaria leaves	DOFAW I1012; HAVO-2017-SCI-0017	4/17/2017	4/22/2017	5	2/11/2018	295	N19° 26.3512' 	W155° 18.2225'
032B	Drosophila nanella	Koke'e State Park	Drosophila ditch	sweeping Paisonia Leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/16/2017	4/24/2017	8	3/4/2018	314	N22° 04.795'	W159° 40.448'
002C	Drosophila nanella	Koke'e State Park	Drosophila ditch	sweeping Paisonia Leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/13/2017	4/27/2017	14	3/4/2018	311	N22° 04.795'	W159° 40.448'
032A	Drosophila nanella	Koke'e State Park	Drosophila ditch	sweeping Paisonia Leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/16/2017	4/24/2017	8	3/4/2018	314	N22° 04.795'	W159° 40.448'
002D	Drosophila nanella	Koke'e State Park	Drosophila ditch	sweeping Paisonia Leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/13/2017	4/27/2017	14	3/4/2018	311	N22° 04.795'	W159° 40.448'
024B	Drosophila primaeva	Koke'e State Park	Drosophila gulch	baits	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/16/2017	4/25/2017	9	3/24/2018	333	N22° 08.914'	W159° 38.175'
021A	Drosophila atroscutellata	Koke'e State Park	Nualolo trail	sweeping Corynocarpus sp leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/15/2017	4/27/2017	12	3/23/2018	330	N22° 07.801'	W159° 39.617'
029D	Drosophila atroscutellata	Koke'e State Park	Nualolo trail	sweeping Corynocarpus sp leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/16/2017	4/23/2017	7	3/23/2018	334	N22° 07.801'	W159° 39.617'
029A	Drosophila atroscutellata	Koke'e State Park	Nualolo trail	sweeping Corynocarpus sp leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/16/2017	4/23/2017	7	3/24/2018	335	N22° 07.801'	W159° 39.617'
016B	Drosophila picticornis	Koke'e State Park	Nualolo trail	baits	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/15/2017	4/24/2017	9	3/24/2018	334	N22° 07.801'	W159° 39.617'
016C	Drosophila picticornis	Koke'e State Park	Nualolo trail	baits	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/15/2017	4/24/2017	9	3/24/2018	334	N22° 07.801'	W159° 39.617'
028A	Drosophila picticornis	Koke'e State Park	Nualolo trail	baits	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/15/2017	4/24/2017	9	3/24/2018	334	N22° 07.801'	W159° 39.617'
020B	Scaptomyza varipicta	Koke'e State Park	Nualolo trail	sweeping Cheirodendron sp leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/15/2017	4/23/2017	8	3/21/2018	332	N22° 08.336' 	W159° 40.479'
020C	Scaptomyza varipicta	Koke'e State Park	Nualolo trail	sweeping Cheirodendron sp leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/15/2017	4/23/2017	8	3/21/2018	332	N22° 08.336' 	W159° 40.479'
020D	Scaptomyza varipicta	Koke'e State Park	Nualolo trail	sweeping Cheirodendron sp leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/15/2017	4/23/2017	8	3/21/2018	332	N22° 08.336' 	W159° 40.479'
020A	Scaptomyza varipicta	Koke'e State Park	Nualolo trail	sweeping Cheirodendron sp leaves	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/15/2017	4/23/2017	8	3/21/2018	332	N22° 08.336' 	W159° 40.479'
8.0-1	Drosophila macrothrix	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	baits	DOFAW I1012; HAVO-2017-SCI-0017	5/9/2016	5/22/2016	13	11/15/2016	177	N19° 27.722' 	W155° 14.875'
8.0-2	Drosophila macrothrix	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	baits	DOFAW I1012; HAVO-2017-SCI-0017	5/9/2016	5/20/2016	11	11/15/2016	179	N19° 27.722' 	W155° 14.875'
8.0-3	Drosophila macrothrix	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	baits	DOFAW I1012; HAVO-2017-SCI-0017	5/9/2016	5/26/2016	17	11/15/2016	173	N19° 27.722' 	W155° 14.875'
055A	Drosophila macrothrix	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	baits	DOFAW I1012; HAVO-2017-SCI-0017	4/17/2017	4/22/2017	5	3/24/2018	336	N19° 27.722' 	W155° 14.875'
7.1-1	Drosophila sproati	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	baits	DOFAW I1012; HAVO-2017-SCI-0017	5/9/2016	5/26/2016	17	11/15/2016	173	N19° 27.722' 	W155° 14.875'
7.2-1	Drosophila sproati	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	baits	DOFAW I1012; HAVO-2017-SCI-0017	5/9/2016	5/25/2016	16	11/15/2016	174	N19° 27.722' 	W155° 14.875'
106B	Drosophila sproati	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	baits	DOFAW I1012; HAVO-2017-SCI-0017	5/29/2017	6/3/2017	5	3/23/2018	293	N19° 27.722' 	W155° 14.875'
106A	Drosophila sproati	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	baits	DOFAW I1012; HAVO-2017-SCI-0017	5/29/2017	6/3/2017	5	3/23/2018	293	N19° 27.722' 	W155° 14.875'
043C	Drosophila tanythrix	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	baits	DOFAW I1012; HAVO-2017-SCI-0017	4/18/2017	4/26/2017	8	1/24/2018	273	N19° 27.722' 	W155° 14.875'
056A	Drosophila tanythrix	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	baits	DOFAW I1012; HAVO-2017-SCI-0017	4/17/2017	4/26/2017	9	1/24/2018	273	N19° 27.722' 	W155° 14.875'
40.2-1	Drosophila tanythrix	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	baits	DOFAW I1012; HAVO-2017-SCI-0017	5/9/2016	5/20/2016	11	8/18/2016	90	N19° 27.722' 	W155° 14.875'
043D	Drosophila tanythrix	Hawai'i Volcanoes National Park	Ola'a tract, pole 44	baits	DOFAW I1012; HAVO-2017-SCI-0017	4/18/2017	4/23/2017	5	1/24/2018	276	N19° 27.722' 	W155° 14.875'
008A	Drosophila primaeva	Koke'e State Park	Pihea trail	baits	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/14/2017	4/25/2017	11	3/24/2018	333	N22° 08.799'	W159° 37.074'
012A	Drosophila primaeva	Koke'e State Park	Pihea trail	baits	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/14/2017	4/25/2017	11	3/24/2018	333	N22° 08.799'	W159° 37.074'
008D	Drosophila primaeva	Koke'e State Park	Pihea trail	baits	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/14/2017	4/23/2017	9	3/24/2018	335	N22° 08.799'	W159° 37.074'
CFC	Scaptomya varia	Koke'e State Park	Pihea trail	collected rotting Clermontia sp flowers	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/14/2017	5/15/2017	31	3/4/2018	293	N22° 08.799'	W159° 37.074'
CFA	Scaptomya varia	Koke'e State Park	Pihea trail	collected rotting Clermontia sp flowers	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/14/2017	5/15/2017	31	3/4/2018	293	N22° 08.799'	W159° 37.074'
CFB	Scaptomya varia	Koke'e State Park	Pihea trail	collected rotting Clermontia sp flowers	DOFAW I1012; Koke'e state park K2017-2015; I1012; NARS special use; Kaua'i island forest reserves KPI-2017-114	4/14/2017	5/15/2017	31	3/4/2018	293	N22° 08.799'	W159° 37.074'