species	individual ID	sample ID	tissue	reads - round 1	reads - round 2	reads - round 3	total reads
D. atroscutellata	029A	029Atxt	whole fly	12,520,922	7,801,177	19,925,042	40,247,141
D. cf dives	16.1-1	16.1.1	ovary	16,808,131			16,808,131
D. cf dives	16.1-1	16.1.2	head	18,215,227			18,215,227
D. cf dives	16.1-1	16.1.4	carcass		8,773,601		8,773,601
D. macrothrix	055A	055Atxt	whole fly	10,336,762	10,313,394	19,643,740	40,293,896
D. macrothrix	8.0-2	8.0.6	ovary	8,886,609			8,886,609
D. mimica	040C	040Ctxt	whole fly	9,471,290	8,887,955	15,751,511	34,110,756
D. nanella	002D	002Dtxt	whole fly	10,833,205	7,350,705	17,211,801	35,395,711
D. picticornis	025A	025Atxt	whole fly	10,085,602	10,177,523	16,172,455	36,435,580
D. primaeva	008D	008Dtxt	whole fly	9,129,075	7,583,577	13,937,132	30,649,784
D. sproati	106A	106Atxt	whole fly	7,432,370	6,026,569	10,237,744	23,696,683
D. tanythrix	043D	043Dtxt	whole fly	11,293,054	8,833,878	15,667,639	35,794,571
S. cyrtandrae	088B	088Bb	carcass		9,166,453		9,166,453
S. cyrtandrae	088B	088Bn	head		8,796,864		8,796,864
S. cyrtandrae	088B	088Bo	ovary		9,763,204		9,763,204
S. cyrtandrae	088C	088Cb	carcass	11,218,315			11,218,315
S. cyrtandrae	088C	088Cn	head	7,670,354			7,670,354
S. cyrtandrae	088C	088Co	ovary	7,145,307			7,145,307
S. varia	CFB	CFBb	carcass		6,672,052		6,672,052
S. varia	CFB	CFBn	head		6,311,203		6,311,203
S. varia	CFB	CFBo	ovary		12,672,693		12,672,693
S. varia	CFC	CFCb	carcass	6,941,585			6,941,585
S. varia	CFC	CFCn	head	8,853,906			8,853,906
S. varia	CFC	CFCo	ovary	8,161,304			8,161,304
S. varipicta	020A	020Atxt	whole fly	7,690,349	8,004,757	14,380,332	30,075,438